Product,UN Region,Country,Organisation,Metric Tons,Price
LD01820,East Asia,China,Global Solutions,544.5,1185.51
PP7032E2,East Asia,China,Summit Materials,965.25,1043.77
PP7032E2,East Asia,China,Advanced Industries,915.75,1102.36
LD01820,East Asia,Japan,Vertex Materials,247.5,1180.8
LL0825,East Asia,South Korea,Omni Resins,594.0,1063.33
PP9054,East Asia,China,Vertex Materials,272.25,1026.56
HD5001,East Asia,Japan,Summit Polymers,891.0,1139.87
HD5001,East Asia,South Korea,Prime Resins,123.75,1028.35
LD01820,East Asia,Japan,Global Solutions,618.75,1046.89
PP9054,East Asia,Japan,United Chemicals,594.0,1012.22
PP9054,East Asia,Japan,Dynamic Materials,965.25,1125.16
PP7032E2,East Asia,Japan,Vertex Resins,247.5,1056.44
PP9054,East Asia,Mongolia,United Solutions,841.5,1111.16
LL0825,East Asia,China,Advanced Solutions,618.75,1091.79
LL0825,East Asia,Japan,Omni Polymers,693.0,1072.53
LD01820,East Asia,Mongolia,Dynamic Materials,965.25,1101.11
PP9054,East Asia,Mongolia,Vertex Industries,445.5,1082.25
HD5001,East Asia,South Korea,Prime Resins,396.0,1031.5
HD5001,East Asia,Japan,Summit Chemicals,445.5,1173.2
LL0825,East Asia,Japan,United Resins,866.25,1063.74
PP1013H1,East Asia,South Korea,Vertex Materials,247.5,1130.78
PP9054,East Asia,Mongolia,Summit Industries,841.5,1063.21
PP9054,East Asia,South Korea,Advanced Materials,321.75,1092.48
PP7032E2,East Asia,China,Omni Solutions,519.75,1180.88
PP7032E2,East Asia,Mongolia,Prime Chemicals,594.0,1173.02
PP9054,East Asia,Mongolia,Advanced Materials,222.75,1120.78
LD01820,East Asia,Mongolia,Summit Chemicals,495.0,1143.71
LD01820,East Asia,China,Vertex Materials,965.25,1023.14
LD01820,East Asia,China,Vertex Materials,544.5,1193.93
LD01820,East Asia,China,Omni Polymers,618.75,1007.35
LD01820,East Asia,China,Global Industries,420.75,1191.16
PP9054,East Asia,Mongolia,Global Chemicals,74.25,1112.07
LL0825,East Asia,South Korea,Dynamic Materials,717.75,1061.21
PP9054,East Asia,Mongolia,Global Industries,841.5,1197.45
HD5001,East Asia,South Korea,Dynamic Industries,123.75,1013.67
PP9054,East Asia,Mongolia,Prime Industries,767.25,1006.84
PP9054,East Asia,Japan,United Industries,594.0,1153.89
LL0825,East Asia,Japan,Vertex Polymers,222.75,1135.03
PP1013H1,East Asia,Japan,Omni Chemicals,668.25,1111.99
PP9054,East Asia,Japan,Dynamic Resins,990.0,1032.71
PP7032E2,East Asia,China,Dynamic Chemicals,445.5,1071.18
HD5001,East Asia,South Korea,Vertex Solutions,371.25,1106.64
PP7032E2,East Asia,China,Vertex Resins,519.75,1042.11
LL0825,East Asia,Mongolia,Dynamic Industries,767.25,1094.08
HD5001,East Asia,Mongolia,Global Solutions,742.5,1169.23
PP9054,East Asia,Mongolia,Summit Polymers,693.0,1194.67
PP1013H1,East Asia,China,Omni Polymers,297.0,1001.48
PP9054,East Asia,China,United Industries,618.75,1169.55
LD01820,East Asia,Mongolia,Dynamic Chemicals,544.5,1075.01
HD5001,East Asia,Japan,Dynamic Polymers,594.0,1187.88
PP9054,East Asia,Japan,Advanced Polymers,618.75,1163.5
LD01820,East Asia,South Korea,Prime Solutions,965.25,1134.08
PP9054,East Asia,China,Summit Materials,915.75,1081.87
PP7032E2,East Asia,Japan,Omni Chemicals,594.0,1187.22
LL0825,East Asia,South Korea,Summit Materials,866.25,1169.89
HD5001,East Asia,Mongolia,Summit Solutions,891.0,1099.57
PP1013H1,East Asia,South Korea,Vertex Polymers,123.75,1079.49
PP1013H1,East Asia,China,Summit Polymers,693.0,1019.26
LL0825,East Asia,South Korea,Omni Resins,767.25,1068.99
PP1013H1,East Asia,Mongolia,Summit Chemicals,668.25,1035.14
PP1013H1,East Asia,China,Prime Polymers,321.75,1025.94
PP1013H1,East Asia,China,Prime Resins,495.0,1072.75
PP1013H1,East Asia,South Korea,United Industries,742.5,1190.91
PP7032E2,East Asia,South Korea,Vertex Solutions,495.0,1021.7
PP1013H1,East Asia,South Korea,Prime Chemicals,49.5,1056.48
LL0825,East Asia,Mongolia,Omni Polymers,99.0,1181.12
LL0825,East Asia,Mongolia,Prime Chemicals,123.75,1141.93
PP7032E2,East Asia,South Korea,Global Industries,990.0,1002.71
HD5001,East Asia,Mongolia,Global Polymers,49.5,1088.72
PP1013H1,East Asia,China,United Solutions,965.25,1111.22
LD01820,East Asia,Mongolia,Dynamic Chemicals,915.75,1064.56
PP1013H1,East Asia,Japan,Dynamic Materials,643.5,1102.9
PP9054,East Asia,South Korea,Vertex Polymers,544.5,1123.57
PP7032E2,East Asia,Mongolia,Summit Resins,965.25,1091.58
PP9054,East Asia,China,Advanced Chemicals,396.0,1134.56
PP9054,East Asia,China,Summit Industries,915.75,1145.87
HD5001,East Asia,Mongolia,Dynamic Materials,222.75,1044.51
PP9054,East Asia,China,Dynamic Materials,940.5,1015.55
LL0825,East Asia,China,Global Materials,247.5,1017.83
LD01820,East Asia,China,Vertex Resins,148.5,1100.49
PP1013H1,East Asia,China,United Resins,445.5,1017.92
LD01820,East Asia,Japan,Omni Resins,742.5,1139.46
LL0825,East Asia,China,Advanced Industries,24.75,1185.19
HD5001,East Asia,South Korea,Omni Polymers,148.5,1132.91
PP9054,East Asia,China,Global Chemicals,767.25,1081.25
PP1013H1,East Asia,Mongolia,Omni Resins,396.0,1135.08
PP9054,East Asia,Japan,Summit Industries,643.5,1132.67
PP9054,East Asia,Mongolia,United Chemicals,321.75,1025.77
HD5001,East Asia,China,Summit Solutions,594.0,1161.36
PP1013H1,East Asia,China,Global Resins,123.75,1024.21
LL0825,East Asia,South Korea,United Chemicals,396.0,1188.76
LD01820,East Asia,Mongolia,United Resins,891.0,1184.48
LD01820,East Asia,China,United Polymers,49.5,1161.33
HD5001,East Asia,Mongolia,Vertex Resins,495.0,1041.66
LD01820,East Asia,Japan,Summit Chemicals,445.5,1038.31
PP7032E2,East Asia,Japan,Global Industries,321.75,1010.33
PP7032E2,East Asia,South Korea,Omni Solutions,618.75,1094.12
PP7032E2,East Asia,South Korea,Dynamic Polymers,594.0,1111.87
HD5001,East Asia,Mongolia,Summit Resins,643.5,1122.83
PP1013H1,East Asia,Mongolia,Summit Resins,990.0,1028.63
LL0825,East Asia,China,Dynamic Industries,396.0,1016.86
LD01820,East Asia,Mongolia,Global Industries,668.25,1109.97
PP1013H1,East Asia,Mongolia,Vertex Polymers,198.0,1077.8
PP9054,East Asia,Mongolia,Prime Chemicals,544.5,1121.35
LL0825,East Asia,Mongolia,Dynamic Resins,940.5,1110.96
PP7032E2,East Asia,South Korea,Global Materials,222.75,1080.56
PP1013H1,East Asia,South Korea,Prime Materials,198.0,1093.04
PP7032E2,East Asia,China,Global Chemicals,148.5,1193.47
LL0825,East Asia,South Korea,Dynamic Industries,519.75,1054.14
PP9054,East Asia,Japan,Summit Resins,123.75,1139.2
PP9054,East Asia,Mongolia,Advanced Materials,965.25,1172.86
HD5001,East Asia,South Korea,Summit Polymers,247.5,1002.28
HD5001,East Asia,Japan,Advanced Chemicals,940.5,1105.76
HD5001,East Asia,China,Vertex Polymers,915.75,1163.3
PP7032E2,East Asia,South Korea,Omni Resins,470.25,1155.84
LD01820,East Asia,China,Omni Solutions,24.75,1155.8
PP1013H1,East Asia,Japan,Prime Materials,346.5,1048.25
HD5001,East Asia,Japan,Advanced Chemicals,346.5,1101.52
PP7032E2,East Asia,Japan,Dynamic Resins,123.75,1178.55
LD01820,East Asia,Mongolia,Summit Industries,272.25,1163.17
PP9054,East Asia,Japan,Vertex Resins,866.25,1060.62
PP7032E2,East Asia,South Korea,Prime Chemicals,519.75,1030.98
PP9054,East Asia,South Korea,Vertex Industries,668.25,1158.3
PP1013H1,East Asia,Mongolia,Summit Polymers,470.25,1110.93
HD5001,East Asia,South Korea,Summit Chemicals,495.0,1062.7
PP1013H1,East Asia,Mongolia,Summit Chemicals,519.75,1134.67
HD5001,East Asia,China,Omni Chemicals,990.0,1093.07
LL0825,East Asia,Mongolia,United Materials,247.5,1033.5
PP1013H1,East Asia,Japan,Dynamic Polymers,371.25,1008.47
PP9054,East Asia,China,Advanced Industries,618.75,1171.52
PP7032E2,East Asia,South Korea,Global Chemicals,321.75,1086.77
LD01820,East Asia,China,Omni Materials,816.75,1187.05
PP1013H1,East Asia,South Korea,United Solutions,792.0,1124.68
PP1013H1,East Asia,South Korea,Global Industries,767.25,1195.69
PP9054,East Asia,China,Omni Polymers,297.0,1055.65
LL0825,East Asia,Mongolia,Global Industries,841.5,1161.59
LD01820,East Asia,Mongolia,Advanced Resins,990.0,1126.15
HD5001,East Asia,Mongolia,United Polymers,940.5,1081.57
PP7032E2,East Asia,Mongolia,Prime Polymers,420.75,1078.72
LD01820,East Asia,Mongolia,Vertex Solutions,123.75,1112.33
PP1013H1,East Asia,Mongolia,Dynamic Solutions,495.0,1113.89
LD01820,East Asia,Mongolia,Advanced Materials,173.25,1003.62
HD5001,East Asia,Mongolia,Vertex Polymers,247.5,1064.42
HD5001,East Asia,South Korea,Advanced Industries,742.5,1086.47
PP1013H1,East Asia,China,Omni Resins,668.25,1016.92
HD5001,East Asia,China,Summit Polymers,594.0,1043.73
HD5001,East Asia,South Korea,Advanced Solutions,668.25,1184.42
PP7032E2,East Asia,China,United Chemicals,816.75,1136.3
PP1013H1,East Asia,Mongolia,Advanced Resins,396.0,1026.55
PP9054,East Asia,South Korea,Global Chemicals,915.75,1065.17
LD01820,East Asia,China,Omni Resins,321.75,1041.44
LD01820,East Asia,Mongolia,United Polymers,222.75,1036.19
PP9054,East Asia,Japan,Dynamic Resins,272.25,1070.69
PP1013H1,East Asia,China,Vertex Solutions,247.5,1020.31
PP9054,East Asia,Japan,Global Chemicals,569.25,1138.85
HD5001,East Asia,China,Prime Chemicals,866.25,1183.21
LD01820,East Asia,China,United Industries,123.75,1184.13
HD5001,East Asia,Mongolia,Advanced Industries,841.5,1135.25
PP9054,East Asia,China,Advanced Polymers,247.5,1088.57
PP9054,East Asia,Mongolia,United Polymers,767.25,1085.43
LL0825,East Asia,South Korea,Advanced Industries,792.0,1041.84
PP7032E2,South Asia,Bangladesh,Dynamic Materials,123.75,1159.37
HD5001,South Asia,Pakistan,Global Polymers,272.25,1017.99
LL0825,South Asia,Bangladesh,United Chemicals,841.5,1043.93
PP1013H1,South Asia,India,Vertex Industries,594.0,1136.77
PP9054,South Asia,Bangladesh,Prime Materials,495.0,1118.81
LL0825,South Asia,Bangladesh,Omni Materials,24.75,1140.47
LL0825,South Asia,Sri Lanka,Dynamic Resins,891.0,1117.47
LL0825,South Asia,Sri Lanka,Dynamic Solutions,420.75,1075.71
LL0825,South Asia,Pakistan,Dynamic Solutions,594.0,1042.83
PP9054,South Asia,Pakistan,Vertex Polymers,569.25,1168.9
PP9054,South Asia,Bangladesh,Vertex Industries,173.25,1109.14
HD5001,South Asia,Pakistan,United Industries,891.0,1053.31
PP9054,South Asia,Pakistan,Summit Solutions,618.75,1192.81
LL0825,South Asia,Sri Lanka,United Materials,99.0,1070.31
PP1013H1,South Asia,Sri Lanka,Summit Solutions,123.75,1129.18
PP9054,South Asia,Sri Lanka,Vertex Industries,272.25,1059.29
LL0825,South Asia,Pakistan,Advanced Materials,222.75,1128.09
PP1013H1,South Asia,Bangladesh,Global Polymers,594.0,1148.87
PP7032E2,South Asia,Sri Lanka,Dynamic Polymers,618.75,1195.04
PP9054,South Asia,Sri Lanka,United Polymers,123.75,1039.35
LL0825,South Asia,Pakistan,Prime Polymers,915.75,1124.64
PP1013H1,South Asia,Pakistan,Prime Resins,272.25,1094.51
LL0825,South Asia,Bangladesh,Prime Industries,74.25,1189.66
LD01820,South Asia,Sri Lanka,Global Solutions,915.75,1040.15
HD5001,South Asia,India,Dynamic Materials,420.75,1197.94
PP9054,South Asia,Pakistan,Summit Industries,816.75,1009.43
LD01820,South Asia,Bangladesh,Vertex Resins,24.75,1016.91
PP7032E2,South Asia,Sri Lanka,Summit Chemicals,470.25,1014.91
HD5001,South Asia,India,United Industries,643.5,1041.99
LL0825,South Asia,India,Advanced Polymers,668.25,1080.26
LL0825,South Asia,Sri Lanka,Summit Materials,470.25,1176.49
LL0825,South Asia,Pakistan,Summit Materials,198.0,1199.36
PP9054,South Asia,Pakistan,Summit Industries,321.75,1138.91
LL0825,South Asia,India,Global Industries,247.5,1097.98
LL0825,South Asia,Sri Lanka,Prime Materials,99.0,1156.15
PP7032E2,South Asia,Bangladesh,Prime Polymers,346.5,1028.65
PP1013H1,South Asia,India,Global Materials,965.25,1096.97
LL0825,South Asia,Bangladesh,Dynamic Chemicals,495.0,1128.95
PP9054,South Asia,Sri Lanka,Advanced Polymers,49.5,1196.8
PP1013H1,South Asia,Bangladesh,United Solutions,841.5,1042.2
LD01820,South Asia,Pakistan,Prime Industries,668.25,1035.97
LD01820,South Asia,Sri Lanka,United Polymers,594.0,1122.11
PP9054,South Asia,Pakistan,Omni Materials,396.0,1010.03
HD5001,South Asia,India,Advanced Industries,643.5,1001.15
LD01820,South Asia,Sri Lanka,Vertex Resins,569.25,1125.35
PP7032E2,South Asia,India,Global Materials,693.0,1026.27
LD01820,South Asia,Pakistan,Vertex Solutions,693.0,1043.86
PP1013H1,South Asia,Sri Lanka,Vertex Solutions,792.0,1186.8
PP1013H1,South Asia,Pakistan,United Resins,346.5,1119.57
PP1013H1,South Asia,Bangladesh,Omni Polymers,420.75,1102.72
PP1013H1,South Asia,Sri Lanka,Advanced Chemicals,321.75,1056.25
PP7032E2,South Asia,Pakistan,Dynamic Chemicals,965.25,1153.26
LD01820,South Asia,Sri Lanka,Advanced Chemicals,940.5,1043.12
LD01820,South Asia,India,Omni Materials,643.5,1152.74
LD01820,South Asia,Pakistan,Global Resins,99.0,1134.72
PP1013H1,South Asia,Bangladesh,Vertex Resins,445.5,1032.29
LL0825,South Asia,Bangladesh,Prime Materials,445.5,1030.62
LL0825,South Asia,Sri Lanka,United Polymers,198.0,1038.61
HD5001,South Asia,Bangladesh,Omni Polymers,321.75,1123.93
PP1013H1,South Asia,Bangladesh,Global Resins,693.0,1033.53
PP1013H1,South Asia,Bangladesh,Summit Industries,297.0,1186.35
LD01820,South Asia,Bangladesh,Summit Materials,470.25,1013.23
PP9054,South Asia,India,Vertex Materials,321.75,1135.99
LD01820,South Asia,Sri Lanka,Advanced Solutions,123.75,1036.98
PP9054,South Asia,Bangladesh,Dynamic Industries,891.0,1173.38
LD01820,South Asia,Pakistan,Advanced Polymers,198.0,1111.99
PP7032E2,South Asia,Bangladesh,United Industries,148.5,1151.5
LD01820,South Asia,Sri Lanka,Prime Materials,123.75,1177.4
HD5001,South Asia,India,Prime Industries,643.5,1091.73
PP9054,South Asia,Bangladesh,Dynamic Solutions,767.25,1024.54
HD5001,South Asia,Pakistan,United Materials,544.5,1172.89
PP9054,South Asia,Pakistan,Omni Chemicals,569.25,1027.79
PP7032E2,South Asia,Bangladesh,Advanced Industries,841.5,1137.68
LL0825,South Asia,Bangladesh,Advanced Polymers,915.75,1052.24
LD01820,South Asia,India,Advanced Industries,371.25,1167.52
LL0825,South Asia,Sri Lanka,United Solutions,767.25,1008.01
PP7032E2,South Asia,India,Summit Solutions,470.25,1024.19
PP1013H1,South Asia,Pakistan,United Solutions,198.0,1055.96
LL0825,South Asia,India,United Chemicals,470.25,1162.92
PP1013H1,South Asia,Bangladesh,Dynamic Solutions,544.5,1017.81
HD5001,South Asia,Pakistan,Summit Polymers,148.5,1196.66
PP1013H1,South Asia,Bangladesh,Global Solutions,544.5,1061.79
HD5001,South Asia,Sri Lanka,Omni Polymers,272.25,1043.11
PP1013H1,South Asia,Sri Lanka,United Polymers,470.25,1120.3
LD01820,South Asia,Sri Lanka,Omni Industries,792.0,1174.65
PP1013H1,South Asia,Pakistan,Omni Polymers,569.25,1125.58
PP1013H1,South Asia,Sri Lanka,United Resins,717.75,1008.24
PP9054,South Asia,Bangladesh,United Materials,49.5,1050.62
PP1013H1,South Asia,Pakistan,United Chemicals,222.75,1083.99
HD5001,South Asia,Bangladesh,Dynamic Polymers,49.5,1135.07
HD5001,South Asia,Pakistan,Summit Solutions,519.75,1071.97
LL0825,South Asia,Sri Lanka,Vertex Industries,940.5,1087.08
PP1013H1,South Asia,India,Vertex Polymers,643.5,1130.1
HD5001,South Asia,India,Dynamic Resins,767.25,1094.25
PP7032E2,South Asia,Sri Lanka,Advanced Solutions,420.75,1184.1
LL0825,South Asia,Sri Lanka,United Solutions,297.0,1064.1
LL0825,South Asia,Bangladesh,United Chemicals,742.5,1002.38
PP9054,South Asia,Pakistan,Omni Polymers,544.5,1051.23
HD5001,South Asia,India,Dynamic Materials,940.5,1064.08
LL0825,South Asia,India,Vertex Polymers,173.25,1155.93
LD01820,South Asia,India,Prime Industries,569.25,1174.04
LD01820,South Asia,Bangladesh,Prime Materials,445.5,1163.64
LL0825,South Asia,Pakistan,Omni Resins,792.0,1078.06
HD5001,South Asia,India,Prime Chemicals,990.0,1053.35
HD5001,South Asia,Bangladesh,Omni Polymers,198.0,1171.83
PP1013H1,South Asia,Pakistan,United Polymers,767.25,1029.73
LL0825,South Asia,Sri Lanka,Dynamic Materials,569.25,1096.04
PP7032E2,South Asia,Bangladesh,Vertex Polymers,767.25,1064.6
PP7032E2,South Asia,Sri Lanka,Omni Solutions,99.0,1146.25
HD5001,South Asia,Sri Lanka,Summit Materials,272.25,1034.03
PP7032E2,South Asia,Sri Lanka,Advanced Chemicals,470.25,1150.42
LD01820,South Asia,Sri Lanka,Summit Industries,767.25,1112.4
LD01820,South Asia,Pakistan,Advanced Materials,346.5,1033.73
PP9054,South Asia,Bangladesh,United Materials,668.25,1150.93
HD5001,South Asia,Pakistan,Summit Resins,123.75,1072.37
HD5001,South Asia,India,Vertex Solutions,470.25,1047.55
PP7032E2,South Asia,Bangladesh,Global Resins,420.75,1138.94
PP9054,South Asia,Sri Lanka,Dynamic Resins,222.75,1015.12
LD01820,South Asia,Bangladesh,Advanced Resins,148.5,1187.89
PP9054,South Asia,Sri Lanka,Summit Chemicals,123.75,1111.87
LL0825,South Asia,India,United Industries,74.25,1144.73
PP7032E2,South Asia,Bangladesh,Global Resins,173.25,1180.02
LD01820,South Asia,Pakistan,Dynamic Solutions,668.25,1002.85
LL0825,South Asia,Pakistan,Prime Materials,668.25,1017.56
HD5001,South Asia,Bangladesh,Advanced Chemicals,470.25,1137.08
HD5001,South Asia,Pakistan,Dynamic Resins,742.5,1084.24
LL0825,South Asia,Sri Lanka,Omni Materials,99.0,1187.58
PP9054,South Asia,Sri Lanka,Summit Solutions,965.25,1098.75
PP1013H1,South Asia,Bangladesh,Advanced Industries,371.25,1051.86
PP7032E2,South Asia,India,Dynamic Polymers,519.75,1086.75
HD5001,South Asia,Sri Lanka,Omni Materials,24.75,1118.44
PP1013H1,South Asia,Sri Lanka,Omni Resins,594.0,1175.31
PP1013H1,South Asia,Bangladesh,Prime Chemicals,420.75,1067.12
PP1013H1,South Asia,Sri Lanka,Omni Industries,866.25,1099.88
PP9054,South Asia,Pakistan,Dynamic Materials,915.75,1073.73
PP1013H1,South Asia,Pakistan,Advanced Resins,24.75,1149.5
PP9054,South Asia,Pakistan,Dynamic Industries,816.75,1140.82
PP9054,South Asia,Bangladesh,United Resins,123.75,1055.72
PP1013H1,South Asia,Bangladesh,Advanced Solutions,247.5,1175.82
PP9054,South Asia,Pakistan,Dynamic Industries,792.0,1024.74
PP9054,South Asia,Sri Lanka,Summit Solutions,792.0,1152.15
LD01820,South Asia,India,Summit Polymers,173.25,1077.11
PP7032E2,South Asia,Bangladesh,Advanced Polymers,445.5,1126.89
PP7032E2,South Asia,Sri Lanka,Advanced Polymers,965.25,1184.3
LD01820,South Asia,India,Advanced Materials,495.0,1113.18
PP7032E2,South Asia,India,Vertex Solutions,445.5,1099.94
PP7032E2,South Asia,Bangladesh,Dynamic Polymers,297.0,1132.88
HD5001,South Asia,Bangladesh,Global Solutions,49.5,1109.7
HD5001,South Asia,Sri Lanka,United Polymers,272.25,1142.98
HD5001,South Asia,Bangladesh,Dynamic Materials,841.5,1081.12
LD01820,South Asia,India,Summit Industries,990.0,1054.97
LD01820,South Asia,Pakistan,Global Resins,495.0,1074.59
PP7032E2,South Asia,Bangladesh,Prime Industries,891.0,1108.25
PP7032E2,South Asia,Sri Lanka,United Solutions,544.5,1135.31
PP9054,South Asia,Pakistan,Global Chemicals,544.5,1001.73
HD5001,South Asia,India,Prime Resins,767.25,1122.67
HD5001,South Asia,India,Dynamic Industries,396.0,1060.9
HD5001,South Asia,India,United Solutions,297.0,1102.69
PP9054,South Asia,India,Summit Chemicals,767.25,1197.54
PP9054,South Asia,Pakistan,Dynamic Solutions,123.75,1108.82
PP1013H1,South Asia,Bangladesh,Vertex Resins,767.25,1165.44
LL0825,South Asia,Sri Lanka,Omni Industries,891.0,1007.53
LL0825,South Asia,India,Global Chemicals,965.25,1050.65
HD5001,South Asia,Bangladesh,Prime Materials,693.0,1052.37
LL0825,South Asia,Bangladesh,Advanced Chemicals,346.5,1027.62
PP9054,South Asia,Pakistan,Advanced Chemicals,940.5,1058.36
LD01820,South Asia,India,Omni Polymers,618.75,1181.95
LD01820,South Asia,Pakistan,Advanced Industries,717.75,1143.01
PP1013H1,South Asia,Pakistan,Vertex Resins,396.0,1108.12
LL0825,South Asia,India,Global Chemicals,519.75,1108.4
PP9054,South Asia,Sri Lanka,Advanced Solutions,594.0,1031.58
PP1013H1,South Asia,India,Vertex Industries,965.25,1091.5
LL0825,South Asia,Bangladesh,Prime Industries,445.5,1067.94
LD01820,South Asia,India,United Polymers,371.25,1151.72
HD5001,South Asia,Sri Lanka,Omni Polymers,891.0,1014.36
PP7032E2,South Asia,Sri Lanka,Omni Industries,123.75,1007.06
HD5001,South Asia,Bangladesh,Prime Polymers,470.25,1042.18
LD01820,South Asia,Pakistan,Global Solutions,470.25,1031.71
HD5001,South Asia,Bangladesh,Dynamic Industries,767.25,1046.31
PP7032E2,South Asia,Bangladesh,Advanced Solutions,866.25,1038.37
PP7032E2,South Asia,India,Dynamic Resins,272.25,1174.91
LD01820,South Asia,Bangladesh,Summit Polymers,990.0,1119.37
PP9054,South Asia,Bangladesh,Dynamic Materials,99.0,1008.67
LL0825,South Asia,Bangladesh,Vertex Industries,668.25,1089.89
PP7032E2,South Asia,India,Prime Industries,569.25,1158.75
PP7032E2,South Asia,Pakistan,Summit Materials,990.0,1032.57
LL0825,South Asia,Sri Lanka,Global Solutions,470.25,1020.42
PP1013H1,South Asia,Pakistan,Dynamic Chemicals,792.0,1171.05
LL0825,South Asia,India,United Resins,990.0,1020.08
PP9054,South Asia,Pakistan,Summit Chemicals,792.0,1153.84
LL0825,South Asia,Bangladesh,Advanced Chemicals,618.75,1102.76
PP9054,South Asia,Sri Lanka,Prime Industries,495.0,1145.33
LD01820,South Asia,Pakistan,Advanced Chemicals,247.5,1166.61
HD5001,South Asia,Bangladesh,United Polymers,495.0,1094.64
HD5001,South Asia,India,Summit Resins,693.0,1069.75
PP7032E2,South Asia,Sri Lanka,Omni Polymers,544.5,1185.71
HD5001,South Asia,Sri Lanka,United Solutions,816.75,1009.8
LD01820,South Asia,India,Omni Resins,222.75,1140.97
PP9054,South Asia,India,Advanced Polymers,693.0,1199.93
LL0825,South Asia,Pakistan,United Materials,915.75,1116.96
PP9054,South Asia,Bangladesh,United Industries,668.25,1152.98
LL0825,South Asia,India,Global Industries,123.75,1149.51
LL0825,South Asia,Bangladesh,Summit Chemicals,297.0,1039.91
LL0825,South Asia,Pakistan,Global Materials,618.75,1132.49
LD01820,South Asia,Bangladesh,Prime Solutions,519.75,1062.23
LD01820,South Asia,Bangladesh,Omni Industries,841.5,1063.42
PP1013H1,South Asia,Sri Lanka,Vertex Chemicals,123.75,1059.14
PP9054,South Asia,Sri Lanka,Omni Materials,742.5,1109.55
PP7032E2,South Asia,Sri Lanka,Prime Solutions,965.25,1173.85
PP1013H1,South Asia,Sri Lanka,Dynamic Resins,346.5,1016.66
HD5001,South Asia,Sri Lanka,Advanced Resins,445.5,1080.15
HD5001,South Asia,India,Omni Resins,693.0,1026.53
PP7032E2,South Asia,Pakistan,Dynamic Solutions,297.0,1080.96
PP7032E2,South Asia,Sri Lanka,Global Chemicals,767.25,1119.01
PP1013H1,South Asia,Pakistan,Vertex Materials,519.75,1114.13
PP1013H1,South Asia,Pakistan,Prime Industries,173.25,1190.86
PP1013H1,South Asia,Pakistan,Summit Resins,272.25,1026.77
LD01820,South Asia,Bangladesh,Dynamic Chemicals,222.75,1158.8
PP9054,South Asia,India,Vertex Resins,965.25,1089.73
PP9054,South Asia,Bangladesh,Omni Industries,321.75,1096.23
LL0825,South Asia,India,Vertex Solutions,742.5,1169.65
PP1013H1,South Asia,Pakistan,Advanced Polymers,866.25,1110.39
LL0825,South Asia,India,United Solutions,816.75,1066.99
HD5001,South Asia,Pakistan,Omni Solutions,742.5,1185.95
PP9054,South Asia,Bangladesh,Dynamic Chemicals,445.5,1083.55
PP7032E2,South Asia,India,Vertex Resins,24.75,1133.41
HD5001,South Asia,Pakistan,Prime Industries,420.75,1031.4
PP7032E2,South Asia,Sri Lanka,Prime Materials,272.25,1076.83
LL0825,South Asia,Bangladesh,United Resins,965.25,1096.52
LD01820,South Asia,Sri Lanka,United Polymers,495.0,1133.68
PP9054,South Asia,Sri Lanka,Prime Solutions,643.5,1199.75
PP1013H1,South Asia,Sri Lanka,Prime Industries,990.0,1182.99
PP7032E2,South Asia,Pakistan,Advanced Industries,693.0,1014.28
PP7032E2,South Asia,Bangladesh,Advanced Solutions,891.0,1006.5
LD01820,South Asia,Bangladesh,Global Industries,618.75,1135.14
HD5001,South Asia,India,Advanced Chemicals,618.75,1141.08
PP7032E2,South Asia,India,Summit Materials,519.75,1191.45
HD5001,South Asia,Bangladesh,Global Solutions,569.25,1158.55
HD5001,South Asia,Sri Lanka,Omni Chemicals,247.5,1173.2
HD5001,South Asia,Pakistan,Advanced Materials,618.75,1054.26
HD5001,South Asia,Pakistan,Advanced Polymers,519.75,1104.65
LD01820,South Asia,Sri Lanka,United Resins,544.5,1103.97
LD01820,South Asia,India,Vertex Materials,49.5,1094.52
PP1013H1,South Asia,Sri Lanka,Omni Polymers,767.25,1173.73
PP9054,South Asia,Bangladesh,Dynamic Chemicals,915.75,1152.44
PP7032E2,South Asia,Pakistan,Prime Solutions,247.5,1137.53
PP1013H1,South Asia,Pakistan,United Chemicals,222.75,1023.49
PP1013H1,South Asia,Bangladesh,United Materials,618.75,1070.13
HD5001,South Asia,Bangladesh,Global Polymers,767.25,1005.92
LL0825,South Asia,Bangladesh,United Chemicals,74.25,1012.08
LD01820,South Asia,Sri Lanka,Summit Polymers,594.0,1075.67
PP1013H1,South Asia,India,Dynamic Solutions,792.0,1036.07
PP1013H1,South Asia,India,Prime Materials,866.25,1104.2
PP7032E2,South Asia,India,United Industries,569.25,1015.52
LL0825,South Asia,Sri Lanka,Advanced Resins,990.0,1108.98
PP9054,South Asia,Sri Lanka,Global Solutions,643.5,1089.07
LL0825,South Asia,India,Summit Industries,173.25,1072.89
PP1013H1,South Asia,Pakistan,Global Materials,346.5,1059.04
PP1013H1,South Asia,Sri Lanka,Summit Materials,915.75,1089.73
LL0825,South Asia,Bangladesh,Dynamic Industries,891.0,1184.91
PP9054,South Asia,Sri Lanka,Omni Polymers,346.5,1063.71
LD01820,South Asia,India,Omni Chemicals,965.25,1175.45
PP9054,South Asia,Bangladesh,Summit Industries,346.5,1159.11
LD01820,South Asia,India,Dynamic Resins,643.5,1181.64
LL0825,South Asia,Sri Lanka,Advanced Materials,767.25,1179.23
LL0825,South Asia,India,Prime Materials,544.5,1068.14
